Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
60,Pete Maravich,1971,1980,658,37,24.2,4.2,5.4,1.4,0.3,0.441,0.667,0.82,46.7,0.092
61,Jack Twyman,1956,1966,823,31.8,19.2,6.6,2.3,,,0.45,,0.778,75,0.138
62,Bob Lanier,1971,1984,959,33.5,20.1,10.1,3.1,1.1,1.5,0.514,0.154,0.767,117.1,0.175
63,David Thompson,1977,1984,509,32,22.1,3.8,3.2,0.9,0.8,0.504,0.277,0.778,50.8,0.15
64,Joe Fulks,1947,1954,489,23.4,16.4,5.3,1.2,,,0.302,,0.766,29.2,-0.045
65,Sam Jones,1958,1969,871,27.9,17.7,4.9,2.5,,,0.456,,0.803,92.3,0.182
66,Gus Johnson,1964,1973,581,34.7,17.1,12.7,2.7,,,0.44,,0.699,35.8,0.085
67,Robert Parish,1977,1997,1611,28.4,14.5,9.1,1.4,0.8,1.5,0.537,0,0.721,147,0.154
68,Tom Heinsohn,1957,1965,654,29.4,18.6,8.8,2,,,0.405,,0.79,60,0.15
69,Bernard King,1978,1993,874,33.7,22.5,5.8,3.3,1,0.3,0.518,0.172,0.73,75.4,0.123
70,Bill Sharman,1951,1961,711,32,17.8,3.9,3,,,0.426,,0.883,82.8,0.178
71,Paul Arizin,1951,1962,713,38.4,22.8,8.6,2.3,,,0.421,,0.81,108.8,0.183
72,Lenny Wilkens,1961,1975,1077,35.3,16.5,4.7,6.7,1.3,0.2,0.432,,0.774,95.5,0.12
73,Alonzo Mourning,1993,2008,838,31,17.1,8.5,1.1,0.5,2.8,0.527,0.247,0.692,89.7,0.166
74,Bill Walton,1975,1987,468,28.3,13.3,10.5,3.4,0.8,2.2,0.521,0,0.66,39.3,0.142
75,Neil Johnston,1952,1959,516,35.5,19.4,11.3,2.5,,,0.444,,0.768,92,0.241
76,Dave DeBusschere,1963,1974,875,35.7,16.1,11,2.9,0.9,0.5,0.432,,0.699,60.8,0.093
77,Paul Pierce,1999,2017,1343,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150,0.157
78,Joe Dumars,1986,1999,1018,34.5,16.1,2.2,4.5,0.9,0.1,0.46,0.382,0.843,86.2,0.118
79,Ray Allen,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,0.452,0.4,0.894,145.1,0.15
80,Chris Webber,1994,2008,831,37.1,20.7,9.8,4.2,1.4,1.4,0.479,0.299,0.649,84.7,0.132
81,Ed Macauley,1950,1959,641,35.7,17.5,7.5,3.2,,,0.436,,0.761,100.4,0.196
82,Alex English,1977,1991,1193,31.9,21.5,5.5,3.6,0.9,0.7,0.507,0.217,0.832,100.7,0.127
83,Adrian Dantley,1977,1991,955,35.8,24.3,5.7,3,1,0.2,0.54,0.171,0.818,134.2,0.189
84,Artis Gilmore,1977,1988,909,32.7,17.1,10.1,2,0.5,1.9,0.599,0.077,0.713,107.4,0.174
85,Cliff Hagan,1957,1966,745,29.2,18,6.9,3,,,0.45,,0.798,75.1,0.166
86,Dwight Howard,2005,2019,1044,34.5,17.4,12.6,1.5,0.9,2,0.583,0.095,0.567,128.9,0.172
87,Tim Hardaway,1990,2003,867,35.3,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85,0.133
88,Chris Mullin,1986,2001,986,32.6,18.2,4.1,3.5,1.6,0.6,0.509,0.384,0.865,93.1,0.139
89,Mitch Richmond,1989,2002,976,35.2,21,3.9,3.5,1.2,0.3,0.455,0.388,0.85,79.3,0.111
90,Sidney Moncrief,1980,1991,767,30.2,15.6,4.7,3.6,1.2,0.3,0.502,0.284,0.831,90.3,0.187
91,Bob Dandridge,1970,1982,839,35.2,18.5,6.8,3.4,1.3,0.6,0.484,0.167,0.78,80.3,0.131
92,Bob Love,1967,1977,789,31.8,17.6,5.9,1.4,0.8,0.2,0.429,,0.805,50.4,0.096
93,Jim Pollard,1949,1955,438,35.4,13.2,7.8,3.2,,,0.36,,0.75,34.9,0.093
