Rank,Player,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
46,Bob McAdoo,1973,1986,852,33.2,22.1,9.4,2.3,1,1.5,0.503,0.081,0.754,89.1,0.151
47,Earl Monroe,1968,1980,926,32,18.8,3,3.9,1,0.3,0.464,,0.807,77.4,0.125
48,Dennis Rodman,1987,2000,911,31.7,7.3,13.1,1.8,0.7,0.6,0.521,0.231,0.584,89.8,0.15
49,Dwyane Wade,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162
50,Steve Nash,1997,2014,1217,31.3,14.3,3,8.5,0.7,0.1,0.49,0.428,0.904,129.7,0.164
51,Walt Bellamy,1962,1975,1043,37.3,20.1,13.7,2.4,0.7,0.6,0.516,,0.632,130,0.16
52,Tiny Archibald,1971,1984,876,35.6,18.8,2.3,7.4,1.1,0.1,0.467,0.224,0.81,83.4,0.128
53,Dennis Johnson,1977,1990,1100,32.7,14.1,3.9,5,1.3,0.6,0.445,0.172,0.797,82.6,0.11
54,Reggie Miller,1988,2005,1389,34.3,18.2,3,3,1.1,0.2,0.471,0.395,0.888,174.4,0.176
55,Dirk Nowitzki,1999,2019,1522,33.8,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193
56,Connie Hawkins,1970,1976,499,34.5,16.5,8,4.1,1.2,0.8,0.467,,0.785,47.5,0.132
57,Dave Bing,1967,1978,901,36.4,20.3,3.8,6,1.3,0.2,0.441,,0.775,68.8,0.101
58,James Worthy,1983,1994,926,32.4,17.6,5.1,3,1.1,0.7,0.521,0.241,0.769,81.2,0.13
59,Hal Greer,1959,1973,1122,35.5,19.2,5,4,,,0.452,,0.801,102.7,0.124
